#Coverage	Number of genomic locations
0.0	2.361245898E9
1.0	3.99817352E8
2.0	2.64750108E8
3.0	7.8955213E7
4.0	4.6954607E7
5.0	2.0160925E7
6.0	1.2272175E7
7.0	7265005.0
8.0	5147105.0
9.0	3866858.0
10.0	3141766.0
11.0	2671118.0
12.0	2356180.0
13.0	2105178.0
14.0	1927736.0
15.0	1773116.0
16.0	1654891.0
17.0	1553680.0
18.0	1462739.0
19.0	1381782.0
20.0	1316763.0
21.0	1255147.0
22.0	1204038.0
23.0	1154666.0
24.0	1111089.0
25.0	1070418.0
26.0	1031035.0
27.0	996583.0
28.0	965678.0
29.0	937912.0
30.0	910597.0
31.0	885640.0
32.0	866346.0
33.0	843975.0
34.0	824713.0
35.0	806862.0
36.0	788239.0
37.0	771343.0
38.0	757971.0
39.0	743196.0
40.0	729647.0
41.0	717538.0
42.0	705226.0
43.0	694854.0
44.0	682333.0
45.0	671602.0
46.0	662409.0
47.0	652132.0
48.0	643257.0
49.0	633541.0
50.0	625198.0
51.0	618080.0
52.0	611383.0
53.0	603131.0
54.0	595403.0
55.0	588715.0
56.0	580408.0
57.0	570853.0
58.0	566247.0
59.0	559141.0
60.0	551771.0
61.0	546143.0
62.0	540461.0
63.0	532191.0
64.0	527179.0
65.0	521990.0
66.0	514841.0
67.0	507011.0
68.0	500890.0
69.0	496268.0
70.0	490565.0
71.0	485404.0
72.0	481907.0
73.0	474748.0
74.0	470015.0
75.0	463225.0
76.0	456928.0
77.0	450790.0
78.0	447180.0
79.0	442946.0
80.0	437775.0
81.0	432401.0
82.0	429448.0
83.0	425353.0
84.0	420123.0
85.0	416113.0
86.0	409739.0
87.0	406895.0
88.0	400296.0
89.0	395906.0
90.0	392046.0
91.0	387268.0
92.0	383388.0
93.0	378974.0
94.0	377061.0
95.0	372452.0
96.0	369249.0
97.0	364643.0
98.0	361874.0
99.0	358136.0
100.0	352915.0
101.0	350394.0
102.0	347690.0
103.0	343155.0
104.0	340742.0
105.0	338415.0
106.0	335062.0
107.0	331268.0
108.0	327417.0
109.0	324504.0
110.0	320890.0
111.0	317106.0
112.0	314778.0
113.0	311394.0
114.0	308681.0
115.0	305577.0
116.0	302666.0
117.0	299146.0
118.0	296128.0
119.0	293757.0
120.0	290564.0
121.0	287192.0
122.0	284077.0
123.0	281454.0
124.0	279316.0
125.0	276101.0
126.0	273327.0
127.0	270904.0
128.0	268137.0
129.0	264488.0
130.0	261820.0
131.0	259146.0
132.0	255819.0
133.0	254143.0
134.0	251309.0
135.0	249067.0
136.0	245505.0
137.0	242943.0
138.0	240290.0
139.0	238934.0
140.0	235551.0
141.0	233851.0
142.0	230633.0
143.0	229267.0
144.0	226996.0
145.0	223430.0
146.0	221182.0
147.0	219149.0
148.0	217072.0
149.0	214757.0
150.0	211721.0
151.0	209448.0
152.0	207245.0
153.0	205164.0
154.0	201974.0
155.0	199823.0
156.0	197128.0
157.0	195048.0
158.0	192164.0
159.0	190579.0
160.0	187978.0
161.0	185856.0
162.0	183652.0
163.0	181672.0
164.0	179658.0
165.0	178096.0
166.0	175989.0
167.0	174306.0
168.0	172771.0
169.0	169534.0
170.0	167120.0
171.0	165891.0
172.0	163557.0
173.0	161581.0
174.0	161110.0
175.0	158005.0
176.0	156670.0
177.0	154101.0
178.0	152326.0
179.0	150783.0
180.0	149088.0
181.0	147079.0
182.0	145485.0
183.0	142565.0
184.0	141161.0
185.0	139571.0
186.0	137673.0
187.0	135825.0
188.0	133386.0
189.0	131044.0
190.0	130401.0
191.0	128401.0
192.0	127606.0
193.0	125359.0
194.0	124114.0
195.0	121731.0
196.0	120599.0
197.0	118769.0
198.0	116587.0
199.0	114858.0
200.0	113260.0
201.0	112242.0
202.0	110139.0
203.0	109064.0
204.0	107667.0
205.0	105743.0
206.0	104312.0
207.0	102454.0
208.0	100992.0
209.0	100011.0
210.0	98280.0
211.0	97449.0
212.0	95681.0
213.0	93633.0
214.0	92452.0
215.0	91200.0
216.0	89375.0
217.0	88584.0
218.0	87350.0
219.0	86397.0
220.0	84302.0
221.0	83295.0
222.0	82020.0
223.0	80906.0
224.0	79446.0
225.0	78452.0
226.0	77421.0
227.0	76204.0
228.0	74756.0
229.0	73636.0
230.0	73420.0
231.0	71892.0
232.0	70734.0
233.0	69624.0
234.0	68190.0
235.0	67532.0
236.0	66211.0
237.0	65323.0
238.0	64303.0
239.0	63162.0
240.0	62356.0
241.0	61248.0
242.0	59861.0
243.0	59348.0
244.0	58161.0
245.0	56884.0
246.0	55835.0
247.0	54749.0
248.0	54362.0
249.0	53523.0
250.0	52613.0
251.0	51831.0
252.0	51382.0
253.0	50544.0
254.0	49822.0
255.0	48718.0
256.0	48221.0
257.0	47096.0
258.0	46250.0
259.0	45688.0
260.0	44386.0
261.0	43882.0
262.0	42939.0
263.0	41912.0
264.0	41211.0
265.0	40696.0
266.0	39989.0
267.0	38885.0
268.0	38016.0
269.0	37691.0
270.0	37258.0
271.0	36415.0
272.0	36177.0
273.0	35550.0
274.0	34672.0
275.0	34166.0
276.0	33722.0
277.0	33037.0
278.0	32145.0
279.0	31748.0
280.0	31013.0
281.0	30738.0
282.0	30280.0
283.0	29744.0
284.0	29146.0
285.0	29003.0
286.0	28340.0
287.0	27442.0
288.0	27522.0
289.0	26226.0
290.0	25927.0
291.0	25335.0
292.0	24963.0
293.0	24393.0
294.0	23985.0
295.0	23589.0
296.0	22967.0
297.0	22470.0
298.0	22391.0
299.0	21891.0
300.0	21150.0
301.0	20896.0
302.0	20628.0
303.0	20114.0
304.0	19803.0
305.0	19333.0
306.0	18942.0
307.0	18480.0
308.0	18226.0
309.0	18011.0
310.0	17727.0
311.0	17050.0
312.0	17105.0
313.0	16681.0
314.0	16496.0
315.0	16098.0
316.0	15796.0
317.0	15573.0
318.0	15335.0
319.0	14849.0
320.0	14514.0
321.0	14395.0
322.0	14286.0
323.0	13902.0
324.0	13905.0
325.0	13463.0
326.0	13211.0
327.0	12692.0
328.0	12456.0
329.0	12154.0
330.0	12001.0
331.0	11678.0
332.0	11664.0
333.0	11221.0
334.0	11024.0
335.0	11087.0
336.0	10756.0
337.0	10638.0
338.0	10337.0
339.0	10293.0
340.0	9800.0
341.0	9678.0
342.0	9674.0
343.0	9251.0
344.0	9007.0
345.0	8874.0
346.0	8834.0
347.0	8498.0
348.0	8377.0
349.0	8063.0
350.0	7959.0
351.0	7822.0
352.0	7688.0
353.0	7752.0
354.0	7488.0
355.0	7223.0
356.0	7108.0
357.0	7082.0
358.0	6995.0
359.0	6812.0
360.0	6563.0
361.0	6538.0
362.0	6448.0
363.0	6327.0
364.0	6206.0
365.0	5837.0
366.0	5768.0
367.0	5873.0
368.0	5686.0
369.0	5474.0
370.0	5359.0
371.0	5298.0
372.0	5296.0
373.0	5047.0
374.0	5177.0
375.0	4940.0
376.0	4869.0
377.0	4727.0
378.0	4686.0
379.0	4689.0
380.0	4512.0
381.0	4467.0
382.0	4361.0
383.0	4339.0
384.0	4264.0
385.0	4192.0
386.0	4157.0
387.0	3905.0
388.0	3799.0
389.0	3944.0
390.0	3696.0
391.0	3676.0
392.0	3605.0
393.0	3539.0
394.0	3446.0
395.0	3447.0
396.0	3317.0
397.0	3220.0
398.0	3214.0
399.0	3204.0
400.0	3124.0
401.0	3055.0
402.0	3031.0
403.0	2923.0
404.0	2895.0
405.0	2844.0
406.0	2769.0
407.0	2730.0
408.0	2594.0
409.0	2464.0
410.0	2616.0
411.0	2587.0
412.0	2479.0
413.0	2467.0
414.0	2363.0
415.0	2297.0
416.0	2213.0
417.0	2229.0
418.0	2177.0
419.0	2077.0
420.0	2026.0
421.0	2042.0
422.0	1953.0
423.0	1956.0
424.0	1804.0
425.0	1879.0
426.0	1787.0
427.0	1790.0
428.0	1671.0
429.0	1716.0
430.0	1688.0
431.0	1765.0
432.0	1641.0
433.0	1649.0
434.0	1686.0
435.0	1644.0
436.0	1595.0
437.0	1539.0
438.0	1562.0
439.0	1523.0
440.0	1444.0
441.0	1421.0
442.0	1414.0
443.0	1404.0
444.0	1433.0
445.0	1418.0
446.0	1315.0
447.0	1264.0
448.0	1330.0
449.0	1268.0
450.0	1268.0
451.0	1180.0
452.0	1162.0
453.0	1216.0
454.0	1128.0
455.0	1089.0
456.0	1074.0
457.0	1136.0
458.0	1024.0
459.0	1037.0
460.0	1030.0
461.0	1038.0
462.0	1030.0
463.0	985.0
464.0	938.0
465.0	933.0
466.0	937.0
467.0	953.0
468.0	925.0
469.0	947.0
470.0	891.0
471.0	870.0
472.0	857.0
473.0	859.0
474.0	878.0
475.0	848.0
476.0	815.0
477.0	792.0
478.0	789.0
479.0	829.0
480.0	814.0
481.0	793.0
482.0	768.0
483.0	787.0
484.0	732.0
485.0	748.0
486.0	765.0
487.0	760.0
488.0	716.0
489.0	738.0
490.0	707.0
491.0	659.0
492.0	724.0
493.0	633.0
494.0	625.0
495.0	629.0
496.0	609.0
497.0	622.0
498.0	588.0
499.0	573.0
500.0	595.0
501.0	619.0
502.0	610.0
503.0	584.0
504.0	512.0
505.0	561.0
506.0	552.0
507.0	557.0
508.0	496.0
509.0	525.0
510.0	527.0
511.0	507.0
512.0	471.0
513.0	434.0
514.0	492.0
515.0	466.0
516.0	430.0
517.0	448.0
518.0	442.0
519.0	439.0
520.0	429.0
521.0	414.0
522.0	424.0
523.0	391.0
524.0	388.0
525.0	392.0
526.0	369.0
527.0	359.0
528.0	349.0
529.0	360.0
530.0	369.0
531.0	377.0
532.0	357.0
533.0	342.0
534.0	347.0
535.0	352.0
536.0	337.0
537.0	314.0
538.0	316.0
539.0	285.0
540.0	320.0
541.0	299.0
542.0	295.0
543.0	293.0
544.0	291.0
545.0	299.0
546.0	279.0
547.0	272.0
548.0	293.0
549.0	252.0
550.0	263.0
551.0	271.0
552.0	302.0
553.0	272.0
554.0	269.0
555.0	241.0
556.0	285.0
557.0	264.0
558.0	269.0
559.0	251.0
560.0	242.0
561.0	253.0
562.0	218.0
563.0	239.0
564.0	245.0
565.0	246.0
566.0	208.0
567.0	253.0
568.0	213.0
569.0	222.0
570.0	198.0
571.0	236.0
572.0	223.0
573.0	198.0
574.0	228.0
575.0	207.0
576.0	215.0
577.0	227.0
578.0	200.0
579.0	210.0
580.0	206.0
581.0	211.0
582.0	193.0
583.0	201.0
584.0	197.0
585.0	163.0
586.0	194.0
587.0	179.0
588.0	205.0
589.0	195.0
590.0	188.0
591.0	197.0
592.0	191.0
593.0	185.0
594.0	215.0
595.0	162.0
596.0	177.0
597.0	167.0
598.0	177.0
599.0	172.0
600.0	155.0
601.0	167.0
602.0	167.0
603.0	162.0
604.0	175.0
605.0	180.0
606.0	164.0
607.0	155.0
608.0	165.0
609.0	180.0
610.0	181.0
611.0	168.0
612.0	184.0
613.0	152.0
614.0	145.0
615.0	131.0
616.0	173.0
617.0	164.0
618.0	160.0
619.0	122.0
620.0	148.0
621.0	151.0
622.0	152.0
623.0	154.0
624.0	147.0
625.0	137.0
626.0	154.0
627.0	121.0
628.0	161.0
629.0	146.0
630.0	120.0
631.0	140.0
632.0	124.0
633.0	94.0
634.0	118.0
635.0	137.0
636.0	138.0
637.0	121.0
638.0	120.0
639.0	100.0
640.0	121.0
641.0	106.0
642.0	127.0
643.0	107.0
644.0	116.0
645.0	116.0
646.0	96.0
647.0	103.0
648.0	125.0
649.0	111.0
650.0	129.0
651.0	122.0
652.0	134.0
653.0	104.0
654.0	92.0
655.0	110.0
656.0	126.0
657.0	91.0
658.0	97.0
659.0	96.0
660.0	108.0
661.0	105.0
662.0	83.0
663.0	120.0
664.0	109.0
665.0	97.0
666.0	99.0
667.0	87.0
668.0	100.0
669.0	112.0
670.0	110.0
671.0	80.0
672.0	95.0
673.0	93.0
674.0	99.0
675.0	104.0
676.0	75.0
677.0	103.0
678.0	89.0
679.0	93.0
680.0	64.0
681.0	93.0
682.0	85.0
683.0	84.0
684.0	69.0
685.0	92.0
686.0	63.0
687.0	86.0
688.0	68.0
689.0	74.0
690.0	94.0
691.0	73.0
692.0	83.0
693.0	89.0
694.0	81.0
695.0	79.0
696.0	77.0
697.0	79.0
698.0	87.0
699.0	86.0
700.0	54.0
701.0	61.0
702.0	53.0
703.0	74.0
704.0	52.0
705.0	53.0
706.0	63.0
707.0	56.0
708.0	57.0
709.0	68.0
710.0	53.0
711.0	64.0
712.0	56.0
713.0	60.0
714.0	83.0
715.0	73.0
716.0	61.0
717.0	60.0
718.0	78.0
719.0	68.0
720.0	70.0
721.0	68.0
722.0	70.0
723.0	63.0
724.0	70.0
725.0	54.0
726.0	55.0
727.0	65.0
728.0	56.0
729.0	66.0
730.0	62.0
731.0	45.0
732.0	47.0
733.0	59.0
734.0	47.0
735.0	53.0
736.0	43.0
737.0	37.0
738.0	49.0
739.0	27.0
740.0	41.0
741.0	44.0
742.0	39.0
743.0	66.0
744.0	47.0
745.0	45.0
746.0	44.0
747.0	51.0
748.0	38.0
749.0	44.0
750.0	42.0
751.0	51.0
752.0	42.0
753.0	43.0
754.0	32.0
755.0	41.0
756.0	38.0
