#Coverage (X)	Coverage
1.0	28.429961412347666
2.0	16.311383108033766
3.0	8.286731604480309
4.0	5.893576513817109
5.0	4.4703689445823755
6.0	3.859285540928852
7.0	3.487312406301754
8.0	3.2671080266435837
9.0	3.1110978017971433
10.0	2.993892229727166
11.0	2.8986644035851157
12.0	2.817702052948917
13.0	2.7462855631787164
14.0	2.6824770158260236
15.0	2.6240467862494796
16.0	2.5703031331009925
17.0	2.5201429135200186
18.0	2.4730504282998
19.0	2.428714390802668
20.0	2.3868321831327677
21.0	2.346920719951143
22.0	2.3088768553543844
23.0	2.2723821191670197
24.0	2.237383862422206
25.0	2.2037064370123147
26.0	2.1712617612461003
27.0	2.140010795475135
28.0	2.109804079678952
29.0	2.0805341032729388
30.0	2.052105722269218
31.0	2.024505266728781
32.0	1.9976612649971344
33.0	1.9714020699244088
34.0	1.945820946260767
35.0	1.9208236593268992
36.0	1.896367441309195
37.0	1.8724756917484768
38.0	1.8490960647807526
39.0	1.8261217469579947
40.0	1.803595263611541
41.0	1.781479454330693
42.0	1.7597306723035473
43.0	1.7383550705181676
44.0	1.7172938470196328
45.0	1.6966121386126503
46.0	1.6762556898851955
47.0	1.656177883617346
48.0	1.636411576159162
49.0	1.616914272489609
50.0	1.5977114635592642
51.0	1.5787615333453857
