#Insert size (bp)	insert size
2.0	26.0
3.0	40.0
4.0	23.0
5.0	34.0
6.0	26.0
7.0	31.0
8.0	28.0
9.0	24.0
10.0	46.0
11.0	32.0
12.0	37.0
13.0	55.0
14.0	60.0
15.0	57.0
16.0	46.0
17.0	61.0
18.0	59.0
19.0	4412.0
20.0	1892.0
21.0	698.0
22.0	322.0
23.0	219.0
24.0	143.0
25.0	179.0
26.0	153.0
27.0	145.0
28.0	155.0
29.0	121.0
30.0	165.0
31.0	159.0
32.0	175.0
33.0	181.0
34.0	185.0
35.0	182.0
36.0	238.0
37.0	220.0
38.0	211.0
39.0	224.0
40.0	259.0
41.0	233.0
42.0	252.0
43.0	282.0
44.0	318.0
45.0	286.0
46.0	324.0
47.0	356.0
48.0	388.0
49.0	437.0
50.0	395.0
51.0	431.0
52.0	516.0
53.0	522.0
54.0	700.0
55.0	714.0
56.0	774.0
57.0	747.0
58.0	781.0
59.0	939.0
60.0	986.0
61.0	1099.0
62.0	1223.0
63.0	1302.0
64.0	1479.0
65.0	1667.0
66.0	1870.0
67.0	2096.0
68.0	2365.0
69.0	2805.0
70.0	3149.0
71.0	3551.0
72.0	4065.0
73.0	4602.0
74.0	5325.0
75.0	6358.0
76.0	7282.0
77.0	8111.0
78.0	9801.0
79.0	11268.0
80.0	12960.0
81.0	15085.0
82.0	17423.0
83.0	20201.0
84.0	23161.0
85.0	26325.0
86.0	30697.0
87.0	35020.0
88.0	39662.0
89.0	45562.0
90.0	51235.0
91.0	58177.0
92.0	65369.0
93.0	73494.0
94.0	82458.0
95.0	92383.0
96.0	101734.0
97.0	112947.0
98.0	123939.0
99.0	136008.0
100.0	148019.0
101.0	161710.0
102.0	175434.0
103.0	190158.0
104.0	203620.0
105.0	218962.0
106.0	232475.0
107.0	247876.0
108.0	260933.0
109.0	275715.0
110.0	289973.0
111.0	303931.0
112.0	315972.0
113.0	329283.0
114.0	341769.0
115.0	353909.0
116.0	365037.0
117.0	375974.0
118.0	386064.0
119.0	393785.0
120.0	401915.0
121.0	410037.0
122.0	417439.0
123.0	423768.0
124.0	430194.0
125.0	436886.0
126.0	440332.0
127.0	443413.0
128.0	448179.0
129.0	450902.0
130.0	452790.0
131.0	455006.0
132.0	455573.0
133.0	455822.0
134.0	456249.0
135.0	457372.0
136.0	456817.0
137.0	456079.0
138.0	454553.0
139.0	452739.0
140.0	452260.0
141.0	449570.0
142.0	447978.0
143.0	445727.0
144.0	442038.0
145.0	440662.0
146.0	438275.0
147.0	435672.0
148.0	431008.0
149.0	426971.0
150.0	424755.0
151.0	419961.0
152.0	416175.0
153.0	412821.0
154.0	409544.0
155.0	405378.0
156.0	400867.0
157.0	396890.0
158.0	392764.0
159.0	388035.0
160.0	383927.0
161.0	379998.0
162.0	376163.0
163.0	370638.0
164.0	365982.0
165.0	361903.0
166.0	357562.0
167.0	353705.0
168.0	349948.0
169.0	345736.0
170.0	340039.0
171.0	336155.0
172.0	331959.0
173.0	327311.0
174.0	322501.0
175.0	318845.0
176.0	313815.0
177.0	308748.0
178.0	304500.0
179.0	301248.0
180.0	296257.0
181.0	292568.0
182.0	287650.0
183.0	283145.0
184.0	279160.0
185.0	274951.0
186.0	270556.0
187.0	265761.0
188.0	262597.0
189.0	257597.0
190.0	254250.0
191.0	250336.0
192.0	246159.0
193.0	242527.0
194.0	236762.0
195.0	234218.0
196.0	229941.0
197.0	226862.0
198.0	223427.0
199.0	219444.0
200.0	214866.0
201.0	211712.0
202.0	208087.0
203.0	204830.0
204.0	199524.0
205.0	197654.0
206.0	193349.0
207.0	189923.0
208.0	187970.0
209.0	183374.0
210.0	179952.0
211.0	176847.0
212.0	172495.0
213.0	169689.0
214.0	166843.0
215.0	164348.0
216.0	160573.0
217.0	157437.0
218.0	154757.0
219.0	151751.0
220.0	148571.0
221.0	145457.0
222.0	142738.0
223.0	140804.0
224.0	137093.0
225.0	135327.0
226.0	131967.0
227.0	129414.0
228.0	126750.0
229.0	124701.0
230.0	122082.0
231.0	119515.0
232.0	116960.0
233.0	114520.0
234.0	112105.0
235.0	109684.0
236.0	107154.0
237.0	104920.0
238.0	103347.0
239.0	101136.0
240.0	98758.0
241.0	96912.0
242.0	94666.0
243.0	93354.0
244.0	90937.0
245.0	88917.0
246.0	86937.0
247.0	85516.0
248.0	83533.0
249.0	81479.0
250.0	79455.0
251.0	78472.0
252.0	76607.0
253.0	74706.0
254.0	72974.0
255.0	71025.0
256.0	69104.0
257.0	68498.0
258.0	66897.0
259.0	65607.0
260.0	64113.0
261.0	62481.0
262.0	60667.0
263.0	59708.0
264.0	58338.0
265.0	56905.0
266.0	55798.0
267.0	54575.0
268.0	53472.0
269.0	52099.0
270.0	50748.0
271.0	49351.0
272.0	48495.0
273.0	47233.0
274.0	46447.0
275.0	45139.0
276.0	43661.0
277.0	42790.0
278.0	42002.0
279.0	40941.0
280.0	39676.0
281.0	38786.0
282.0	38220.0
283.0	37234.0
284.0	36455.0
285.0	35354.0
286.0	34618.0
287.0	33885.0
288.0	32861.0
289.0	32216.0
290.0	31376.0
291.0	30688.0
292.0	29845.0
293.0	29087.0
294.0	28754.0
295.0	27763.0
296.0	27223.0
297.0	26071.0
298.0	25741.0
299.0	24994.0
300.0	24329.0
301.0	23953.0
302.0	23257.0
303.0	22497.0
304.0	22221.0
305.0	21550.0
306.0	21131.0
307.0	20511.0
308.0	19929.0
309.0	19367.0
310.0	18994.0
311.0	18435.0
312.0	18167.0
313.0	17677.0
314.0	17197.0
315.0	16728.0
316.0	16220.0
317.0	16077.0
318.0	15324.0
319.0	14800.0
320.0	14758.0
321.0	14071.0
322.0	13871.0
323.0	13514.0
324.0	13257.0
325.0	12654.0
326.0	12479.0
327.0	12211.0
328.0	11749.0
329.0	11713.0
330.0	11311.0
331.0	10806.0
332.0	10515.0
333.0	10312.0
334.0	10106.0
335.0	10013.0
336.0	9500.0
337.0	9407.0
338.0	9225.0
339.0	8957.0
340.0	8520.0
341.0	8311.0
342.0	8205.0
343.0	7820.0
344.0	7930.0
345.0	7509.0
346.0	7412.0
347.0	7214.0
348.0	6831.0
349.0	6667.0
350.0	6442.0
351.0	6367.0
352.0	6259.0
353.0	5975.0
354.0	5932.0
355.0	5936.0
356.0	5611.0
357.0	5485.0
358.0	5348.0
359.0	5068.0
360.0	5125.0
361.0	4941.0
362.0	4740.0
363.0	4607.0
364.0	4552.0
365.0	4408.0
366.0	4313.0
367.0	4096.0
368.0	4147.0
369.0	4050.0
370.0	3744.0
371.0	3656.0
372.0	3608.0
373.0	3563.0
374.0	3377.0
375.0	3295.0
376.0	3225.0
377.0	3257.0
378.0	3084.0
379.0	2893.0
380.0	2842.0
381.0	2776.0
382.0	2676.0
383.0	2580.0
384.0	2420.0
385.0	2466.0
386.0	2282.0
387.0	2308.0
388.0	2094.0
