#GC Content (%)	Sample
1.0	2.1252675180488343E-7
2.0	1.0626337590244171E-7
3.0	3.1879012770732513E-7
4.0	1.0626337590244171E-7
5.0	3.1879012770732513E-7
6.0	2.1252675180488343E-7
7.0	2.1252675180488343E-7
8.0	0.0
9.0	5.313168795122086E-7
10.0	2.1252675180488343E-7
11.0	2.1252675180488343E-7
12.0	1.0626337590244171E-7
13.0	5.313168795122086E-7
14.0	6.375802554146503E-7
15.0	1.3814238867317423E-6
16.0	8.501070072195337E-7
17.0	3.612954780683018E-6
18.0	7.650963064975803E-6
19.0	2.3165415946732294E-5
20.0	5.791353986683074E-5
21.0	1.3134153261541796E-4
22.0	2.4589345183825015E-4
23.0	4.6713380046713377E-4
24.0	7.577641335603119E-4
25.0	0.0013481634500742783
26.0	0.001617009791107456
27.0	0.002540863581203284
28.0	0.0034385765808271113
29.0	0.004564224521761677
30.0	0.005863081765417222
31.0	0.0073549132997116
32.0	0.009143644706277404
33.0	0.011198884659606528
34.0	0.013580884493835661
35.0	0.01629857033254061
36.0	0.019348966801196105
37.0	0.022746631982300772
38.0	0.026530989588314426
39.0	0.030378255112862327
40.0	0.03375424256528291
41.0	0.03651464628110063
42.0	0.0377971389648672
43.0	0.03860112766694508
44.0	0.03863279415296401
45.0	0.03760735257550544
46.0	0.036072378110594674
47.0	0.03394052226323989
48.0	0.03207570627952794
49.0	0.030186768509486133
50.0	0.028781647889928146
51.0	0.030144263159125155
52.0	0.023827436778604504
53.0	0.02587226292109519
54.0	0.025566861978751576
55.0	0.025802979200006803
56.0	0.026117200002550318
57.0	0.026232495765404474
58.0	0.025826250879329434
59.0	0.025272618690877713
60.0	0.024549071364357987
61.0	0.02339972669059718
62.0	0.022207982929851294
63.0	0.02062030183049291
64.0	0.018630945170223304
65.0	0.016396651428498565
66.0	0.014217614642243092
67.0	0.012110943214977186
68.0	0.010306272302026019
69.0	0.008420309906509483
70.0	0.006936235598655981
71.0	0.005690722569703462
72.0	0.004515237105470651
73.0	0.0035715120640810666
74.0	0.0027896261441909
75.0	0.0021842436916746895
76.0	0.0017230606402580924
77.0	0.0013689910717511566
78.0	0.001069115824954466
79.0	8.276854349041185E-4
80.0	6.244035968027475E-4
81.0	4.811605660862561E-4
82.0	3.5555725576956996E-4
83.0	2.4408697444790864E-4
84.0	1.7501578011132153E-4
85.0	1.0392558163258803E-4
86.0	7.76785277846849E-5
87.0	4.5480724886245056E-5
88.0	2.6140790472000668E-5
89.0	1.2432814980585681E-5
90.0	8.07601656858557E-6
91.0	3.931744908390343E-6
92.0	2.0190041421463928E-6
93.0	3.7192181565854595E-6
94.0	2.975374525268368E-6
95.0	4.994378667414761E-6
96.0	2.550321021658601E-6
97.0	2.550321021658601E-6
98.0	2.1252675180488343E-6
99.0	1.3814238867317425E-6
100.0	2.7628477734634846E-6
