#Mapping quality	mapping quality
0.0	9.1226939E7
1.0	368937.0
2.0	268846.0
3.0	372743.0
4.0	273131.0
5.0	268434.0
6.0	330705.0
7.0	334001.0
8.0	315779.0
9.0	434080.0
10.0	327897.0
11.0	236339.0
12.0	319235.0
13.0	528665.0
14.0	225630.0
15.0	362156.0
16.0	305732.0
17.0	238074.0
18.0	311375.0
19.0	295983.0
20.0	555886.0
21.0	376748.0
22.0	442606.0
23.0	431165.0
24.0	599069.0
25.0	934105.0
26.0	225185.0
27.0	2076899.0
28.0	226541.0
29.0	211980.0
30.0	527507.0
31.0	298106.0
32.0	253978.0
33.0	401488.0
34.0	280330.0
35.0	246210.0
36.0	322271.0
37.0	296121.0
38.0	352958.0
39.0	379711.0
40.0	3676714.0
41.0	406322.0
42.0	613993.0
43.0	579434.0
44.0	518646.0
45.0	881368.0
46.0	752956.0
47.0	923742.0
48.0	1188534.0
49.0	858750.0
50.0	3483474.0
51.0	705196.0
52.0	935958.0
53.0	1142839.0
54.0	1006936.0
55.0	1711808.0
56.0	1183938.0
57.0	1245632.0
58.0	1013016.0
59.0	2059946.0
60.0	8.06291394E8
