#Coverage (X)	Coverage
1.0	35.493618658936185
2.0	19.720745945511467
3.0	10.85758938550562
4.0	7.507721365781151
5.0	5.681952309311569
6.0	4.794189703906866
7.0	4.271636371557477
8.0	3.9531205488066092
9.0	3.7351363369805597
10.0	3.5754442307575545
11.0	3.449230441675425
12.0	3.344323177236788
13.0	3.2541923591061135
14.0	3.1741258895945066
15.0	3.1020139606213206
16.0	3.0358557902048204
17.0	2.9746090985388207
18.0	2.9173589999493856
19.0	2.863427665509718
20.0	2.812711161248984
21.0	2.7646599010606394
22.0	2.718992150835902
23.0	2.6753940172525006
24.0	2.633737954626781
25.0	2.593787360865875
26.0	2.5554071127146045
27.0	2.518461814125203
28.0	2.482901998710858
29.0	2.4483036861903855
30.0	2.41482994590271
31.0	2.3824710482460034
32.0	2.351086201941584
33.0	2.3206405804708083
34.0	2.290966992295836
35.0	2.2620096664903713
36.0	2.233833042722523
37.0	2.206368256022415
38.0	2.1795047344665477
39.0	2.1532984005326767
40.0	2.12771694345588
41.0	2.1027220813448935
42.0	2.07820339382765
43.0	2.0542069222286443
44.0	2.030666014228885
45.0	2.0075957643508104
46.0	1.984945342244714
47.0	1.9626294850759791
48.0	1.9407250900402744
49.0	1.9191208274569789
50.0	1.8979726134374886
51.0	1.877111649998838
