#Insert size (bp)	insert size
2.0	31.0
3.0	40.0
4.0	54.0
5.0	58.0
6.0	49.0
7.0	51.0
8.0	56.0
9.0	49.0
10.0	53.0
11.0	57.0
12.0	50.0
13.0	62.0
14.0	80.0
15.0	86.0
16.0	85.0
17.0	76.0
18.0	76.0
19.0	4686.0
20.0	2136.0
21.0	809.0
22.0	335.0
23.0	244.0
24.0	161.0
25.0	167.0
26.0	181.0
27.0	178.0
28.0	178.0
29.0	167.0
30.0	184.0
31.0	174.0
32.0	172.0
33.0	222.0
34.0	193.0
35.0	202.0
36.0	201.0
37.0	188.0
38.0	231.0
39.0	203.0
40.0	259.0
41.0	266.0
42.0	268.0
43.0	318.0
44.0	311.0
45.0	281.0
46.0	298.0
47.0	312.0
48.0	329.0
49.0	390.0
50.0	364.0
51.0	391.0
52.0	410.0
53.0	461.0
54.0	487.0
55.0	509.0
56.0	563.0
57.0	525.0
58.0	644.0
59.0	693.0
60.0	659.0
61.0	735.0
62.0	866.0
63.0	877.0
64.0	984.0
65.0	1064.0
66.0	1316.0
67.0	1433.0
68.0	1618.0
69.0	1783.0
70.0	2013.0
71.0	2325.0
72.0	2695.0
73.0	3107.0
74.0	3645.0
75.0	4153.0
76.0	4794.0
77.0	5663.0
78.0	6493.0
79.0	7633.0
80.0	8822.0
81.0	10252.0
82.0	11858.0
83.0	13783.0
84.0	15829.0
85.0	18283.0
86.0	21186.0
87.0	24275.0
88.0	27738.0
89.0	31717.0
90.0	36385.0
91.0	41147.0
92.0	46380.0
93.0	52261.0
94.0	58343.0
95.0	65773.0
96.0	73330.0
97.0	81468.0
98.0	89693.0
99.0	99758.0
100.0	108678.0
101.0	118820.0
102.0	129709.0
103.0	139644.0
104.0	150917.0
105.0	161987.0
106.0	173283.0
107.0	185005.0
108.0	197125.0
109.0	208288.0
110.0	220199.0
111.0	231179.0
112.0	241404.0
113.0	252756.0
114.0	264135.0
115.0	274784.0
116.0	283188.0
117.0	292503.0
118.0	302323.0
119.0	312096.0
120.0	319676.0
121.0	327899.0
122.0	335280.0
123.0	341320.0
124.0	348045.0
125.0	355404.0
126.0	361119.0
127.0	366995.0
128.0	372188.0
129.0	377806.0
130.0	380478.0
131.0	386204.0
132.0	390076.0
133.0	392453.0
134.0	397407.0
135.0	398245.0
136.0	401429.0
137.0	403475.0
138.0	405831.0
139.0	408424.0
140.0	409707.0
141.0	412108.0
142.0	413196.0
143.0	413409.0
144.0	413557.0
145.0	414994.0
146.0	415969.0
147.0	414893.0
148.0	416092.0
149.0	415929.0
150.0	416044.0
151.0	416672.0
152.0	414727.0
153.0	414758.0
154.0	414101.0
155.0	414313.0
156.0	412378.0
157.0	412757.0
158.0	411152.0
159.0	409789.0
160.0	411252.0
161.0	407401.0
162.0	406355.0
163.0	405666.0
164.0	404177.0
165.0	402746.0
166.0	399854.0
167.0	400225.0
168.0	396943.0
169.0	395085.0
170.0	394515.0
171.0	392150.0
172.0	389011.0
173.0	386802.0
174.0	385353.0
175.0	384409.0
176.0	382026.0
177.0	379774.0
178.0	377618.0
179.0	375995.0
180.0	372660.0
181.0	369480.0
182.0	367149.0
183.0	364803.0
184.0	362352.0
185.0	361283.0
186.0	357929.0
187.0	354531.0
188.0	353291.0
189.0	349875.0
190.0	347835.0
191.0	344655.0
192.0	343980.0
193.0	337761.0
194.0	336884.0
195.0	333887.0
196.0	331920.0
197.0	329806.0
198.0	326230.0
199.0	325182.0
200.0	321650.0
201.0	317597.0
202.0	315649.0
203.0	312434.0
204.0	308243.0
205.0	306413.0
206.0	304132.0
207.0	301960.0
208.0	297559.0
209.0	296033.0
210.0	293387.0
211.0	290907.0
212.0	286783.0
213.0	284308.0
214.0	281225.0
215.0	277567.0
216.0	275320.0
217.0	272816.0
218.0	271052.0
219.0	267048.0
220.0	265529.0
221.0	263041.0
222.0	258464.0
223.0	256701.0
224.0	253200.0
225.0	251189.0
226.0	247936.0
227.0	246315.0
228.0	243343.0
229.0	240448.0
230.0	237225.0
231.0	234382.0
232.0	230655.0
233.0	229804.0
234.0	226222.0
235.0	223685.0
236.0	221740.0
237.0	217909.0
238.0	215976.0
239.0	213677.0
240.0	210580.0
241.0	207421.0
242.0	206456.0
243.0	202788.0
244.0	199902.0
245.0	197329.0
246.0	195023.0
247.0	192829.0
248.0	189892.0
249.0	188249.0
250.0	185728.0
251.0	183355.0
252.0	179954.0
253.0	178480.0
254.0	175811.0
255.0	173970.0
256.0	171624.0
257.0	169310.0
258.0	166401.0
259.0	164436.0
260.0	161752.0
261.0	160298.0
262.0	158707.0
263.0	155449.0
264.0	153358.0
265.0	150952.0
266.0	149098.0
267.0	147173.0
268.0	144231.0
269.0	143237.0
270.0	140229.0
271.0	139600.0
272.0	137351.0
273.0	134813.0
274.0	133512.0
275.0	130847.0
276.0	128728.0
277.0	126682.0
278.0	125471.0
279.0	123691.0
280.0	121956.0
281.0	120041.0
282.0	118669.0
283.0	115910.0
284.0	115222.0
285.0	113169.0
286.0	110338.0
287.0	109576.0
288.0	107729.0
289.0	106116.0
290.0	104128.0
291.0	102517.0
292.0	100911.0
293.0	99938.0
294.0	98235.0
295.0	96615.0
296.0	95548.0
297.0	93189.0
298.0	92217.0
299.0	90418.0
300.0	89822.0
301.0	87758.0
302.0	86322.0
303.0	85407.0
304.0	84037.0
305.0	82052.0
306.0	81061.0
307.0	79506.0
308.0	78335.0
309.0	76917.0
310.0	75334.0
311.0	73431.0
312.0	72959.0
313.0	72021.0
314.0	70849.0
315.0	69335.0
316.0	68449.0
317.0	67059.0
318.0	65859.0
319.0	64978.0
320.0	63592.0
321.0	62588.0
322.0	61943.0
323.0	60708.0
324.0	59959.0
325.0	58898.0
326.0	57965.0
327.0	56685.0
328.0	55778.0
329.0	54847.0
330.0	53894.0
331.0	52845.0
332.0	52162.0
333.0	50784.0
334.0	50117.0
335.0	49044.0
336.0	48878.0
337.0	47343.0
338.0	47029.0
339.0	46041.0
340.0	45389.0
341.0	44353.0
342.0	43442.0
343.0	42814.0
344.0	41782.0
345.0	41173.0
346.0	41105.0
347.0	40014.0
348.0	39054.0
349.0	37957.0
350.0	37478.0
351.0	37350.0
352.0	36418.0
353.0	35521.0
354.0	35094.0
355.0	34558.0
356.0	33710.0
357.0	33607.0
358.0	32592.0
359.0	32067.0
360.0	31785.0
361.0	30858.0
362.0	30074.0
363.0	29761.0
364.0	29080.0
365.0	28572.0
366.0	27995.0
367.0	27796.0
368.0	27172.0
369.0	26496.0
370.0	26298.0
371.0	25682.0
372.0	24995.0
373.0	24638.0
374.0	24313.0
375.0	23277.0
376.0	23449.0
377.0	22763.0
378.0	22455.0
379.0	21809.0
380.0	21508.0
381.0	21170.0
382.0	20837.0
383.0	20113.0
384.0	19876.0
385.0	19506.0
386.0	19281.0
387.0	18981.0
388.0	18633.0
389.0	18290.0
390.0	17565.0
391.0	17076.0
392.0	17245.0
393.0	16909.0
394.0	16596.0
395.0	16130.0
396.0	15886.0
397.0	15588.0
398.0	15506.0
399.0	14911.0
400.0	14765.0
401.0	14408.0
402.0	14102.0
403.0	13829.0
404.0	13539.0
405.0	13346.0
406.0	13147.0
407.0	12737.0
408.0	12846.0
409.0	12074.0
410.0	12101.0
411.0	11756.0
412.0	11464.0
413.0	11228.0
414.0	10955.0
415.0	10873.0
416.0	10599.0
417.0	10447.0
418.0	10357.0
419.0	10103.0
420.0	9833.0
421.0	9491.0
422.0	9387.0
423.0	9165.0
424.0	9149.0
425.0	8789.0
426.0	8564.0
427.0	8456.0
428.0	8403.0
429.0	8212.0
430.0	7929.0
431.0	7862.0
432.0	7723.0
433.0	7483.0
434.0	7301.0
435.0	7322.0
436.0	7091.0
437.0	6827.0
438.0	6723.0
439.0	6745.0
440.0	6514.0
441.0	6262.0
442.0	6371.0
443.0	6090.0
444.0	5919.0
445.0	5742.0
446.0	5679.0
447.0	5714.0
448.0	5524.0
449.0	5300.0
450.0	5197.0
451.0	5160.0
452.0	5058.0
453.0	4845.0
454.0	4923.0
455.0	4725.0
456.0	4702.0
457.0	4548.0
458.0	4242.0
459.0	4297.0
460.0	4274.0
461.0	4086.0
462.0	4063.0
463.0	3953.0
464.0	3845.0
465.0	3873.0
466.0	3749.0
