#Read position (bp)	Clipping profile
0.0	8.387515919495495
1.0	1.8769732487745832
2.0	1.7812893941772272
3.0	1.6726595711971621
4.0	1.565627766189338
5.0	1.4309290107823736
6.0	1.3728896048728625
7.0	1.3105213907853832
8.0	1.2497562516890444
9.0	1.1893956741046647
10.0	1.1287013332729188
11.0	1.0889177655905868
12.0	1.0479609695235723
13.0	1.0058006029584774
14.0	0.9636908065823777
15.0	0.9221878524742173
16.0	0.8862526761744016
17.0	0.8538321280097353
18.0	0.8216897158845413
19.0	0.7925511729856477
20.0	0.7643178364697639
21.0	0.7424007165593499
22.0	0.7204684255922376
23.0	0.6996790208964112
24.0	0.6800021603584738
25.0	0.6620952564353599
26.0	0.6484210773311239
27.0	0.6421655449524478
28.0	0.6292195765697391
29.0	0.6162584371303319
30.0	1.1222384631193634
31.0	1.0988244656146988
32.0	0.987418339258811
33.0	0.9530761239123364
34.0	0.8718199442352412
35.0	0.9666188205251857
36.0	0.9024047945393906
37.0	0.8741107737967126
38.0	0.8313031088124825
39.0	0.8074086945123657
40.0	0.7947863753392249
41.0	0.7830186923600985
42.0	0.7516398900887284
43.0	0.7502087537401712
44.0	0.7285444847747321
45.0	0.7284939145857371
46.0	0.7025109514801288
47.0	0.7132672306793559
48.0	0.6784142564240323
49.0	0.6785002257453236
50.0	0.6599207383085769
51.0	0.6616451817533049
52.0	0.6203343943633254
53.0	0.6181447051798438
54.0	0.5859972360357503
55.0	0.5865079949445994
56.0	0.576555781750392
57.0	0.575402781441307
58.0	0.5737744213556695
59.0	0.5729905834262476
60.0	0.5807682784936719
61.0	0.585066744558243
62.0	0.5821539016721337
63.0	0.5888392806572668
64.0	0.5950037866957519
65.0	0.601780192021076
66.0	0.6114441551380121
67.0	0.6147868446305788
68.0	0.6231056407202489
69.0	0.632890972290773
70.0	0.6402641058462375
71.0	0.6451643571598488
72.0	0.6589649617365723
73.0	0.6719008160814819
74.0	0.6794661163551273
75.0	0.693737023689504
76.0	0.7132014894336625
77.0	0.7336065606931272
78.0	0.7544566496157474
79.0	0.776798559113719
80.0	0.7993022932164744
81.0	0.8273940332031724
82.0	0.8565882033099605
83.0	0.8893020585707975
84.0	0.9212725320534085
85.0	0.9563834142726065
86.0	0.9982909298927265
87.0	1.038438602935822
88.0	1.0800426974219723
89.0	1.1206910153361178
90.0	1.1592608984825705
91.0	1.217497528129162
92.0	1.274434503918583
93.0	1.3322362299398174
94.0	1.3915095484608053
95.0	1.4470356159772668
96.0	1.574700058095033
97.0	1.67819700689211
98.0	1.7816282144434932
99.0	1.8726697256911125
100.0	1.8896714232312164
