#Mapping quality	mapping quality
0.0	1.1276749E8
1.0	491486.0
2.0	366690.0
3.0	503148.0
4.0	383798.0
5.0	386080.0
6.0	482642.0
7.0	460434.0
8.0	455173.0
9.0	601740.0
10.0	467803.0
11.0	337900.0
12.0	485150.0
13.0	809876.0
14.0	303968.0
15.0	474831.0
16.0	411675.0
17.0	327055.0
18.0	435670.0
19.0	396511.0
20.0	811968.0
21.0	502925.0
22.0	586635.0
23.0	574987.0
24.0	785507.0
25.0	1240468.0
26.0	327379.0
27.0	2759409.0
28.0	300208.0
29.0	278986.0
30.0	765145.0
31.0	393830.0
32.0	348895.0
33.0	537938.0
34.0	360132.0
35.0	333041.0
36.0	424169.0
37.0	377391.0
38.0	482387.0
39.0	478241.0
40.0	5246122.0
41.0	534419.0
42.0	791078.0
43.0	750612.0
44.0	656244.0
45.0	1137691.0
46.0	956943.0
47.0	1121810.0
48.0	1441111.0
49.0	1014609.0
50.0	4150962.0
51.0	871363.0
52.0	1174898.0
53.0	1453177.0
54.0	1224658.0
55.0	2125817.0
56.0	1533890.0
57.0	1614973.0
58.0	1381381.0
59.0	3152708.0
60.0	1.004655803E9
